Pass,Profit,Total trades,Profit factor,Expected Payoff,Drawdown $,Drawdown %
1793,594.01,1005,1.91,0.59,268.81,21.61
1690,593.97,991,1.91,0.6,268.87,21.49
2048,593.96,916,1.67,0.65,484.66,44.94
1817,593.95,999,1.79,0.59,310.69,23.62
1099,593.91,984,1.86,0.6,268.75,21.61
1340,593.9,1020,1.74,0.58,358.66,29.04
1549,593.83,981,1.75,0.61,310.21,24.35
1343,593.81,996,1.89,0.6,268.85,21.49
1770,593.8,999,1.79,0.59,310.73,23.62
1382,593.67,984,1.76,0.6,310.12,24.35
2288,593.66,995,1.85,0.6,271.15,21.44
1692,593.64,977,1.85,0.61,268.89,21.61
1828,593.61,996,1.89,0.6,268.82,21.49
956,593.6,999,1.79,0.59,310.65,23.62
1902,593.54,984,1.76,0.6,310.01,24.34
2192,593.54,969,1.63,0.61,528.48,45.06
1448,593.52,984,1.76,0.6,310.15,24.35
1941,593.48,999,1.79,0.59,310.54,23.61
940,593.38,991,1.91,0.6,268.73,21.49
1148,593.38,996,1.89,0.6,268.69,21.48
1405,593.36,984,1.76,0.6,310.12,24.35
923,593.36,977,1.85,0.61,268.77,21.61
2241,593.23,1005,1.91,0.59,268.33,21.58
2728,593.19,987,1.61,0.6,393.17,30.86
2488,593.12,993,1.61,0.6,393.31,30.89
989,593.11,984,1.76,0.6,309.99,24.34
2681,593.07,987,1.61,0.6,393.16,30.86
2213,593.02,996,1.89,0.6,268.43,21.47
1811,593.01,981,1.75,0.6,310.04,24.35
2481,592.91,993,1.61,0.6,393.33,30.89
2018,592.84,977,1.85,0.61,268.53,21.59
2857,592.8,984,1.76,0.6,309.74,24.33
2869,592.79,984,1.76,0.6,309.74,24.33
2921,592.66,984,1.76,0.6,309.69,24.32
2861,592.65,984,1.76,0.6,309.79,24.33
2580,592.65,984,1.76,0.6,309.66,24.32
2844,592.64,984,1.76,0.6,309.62,24.32
2830,592.63,981,1.75,0.6,309.62,24.32
1482,592.61,955,1.56,0.62,529.27,45.11
2535,592.59,984,1.76,0.6,309.6,24.31
2553,592.58,984,1.76,0.6,309.6,24.32
1975,592.55,984,1.76,0.6,309.75,24.33
2422,592.55,993,1.61,0.6,393.23,30.88
2901,592.51,984,1.76,0.6,309.66,24.32
2829,592.51,984,1.76,0.6,309.63,24.32
1300,592.5,1009,1.93,0.59,270.68,21.75
1708,592.49,996,1.89,0.59,268.9,21.49
2504,592.49,981,1.75,0.6,309.61,24.32
2803,592.47,984,1.76,0.6,309.54,24.31
2801,592.46,984,1.76,0.6,309.53,24.31
2759,592.45,984,1.76,0.6,309.53,24.31
2813,592.43,984,1.76,0.6,309.57,24.31
2831,592.41,980,1.75,0.6,309.61,24.32
2840,592.36,984,1.76,0.6,309.59,24.32
2356,592.33,984,1.76,0.6,309.48,24.31
2833,592.33,984,1.76,0.6,309.62,24.32
2747,592.32,984,1.76,0.6,309.53,24.31
2771,592.32,981,1.75,0.6,309.55,24.31
2452,592.29,984,1.76,0.6,309.48,24.31
1662,592.29,996,1.89,0.59,268.89,21.49
2556,592.27,984,1.76,0.6,309.64,24.32
2677,592.27,981,1.75,0.6,309.39,24.3
1849,592.26,986,1.61,0.6,393.96,30.97
2525,592.25,984,1.76,0.6,309.55,24.32
2763,592.24,984,1.76,0.6,309.51,24.31
2103,592.22,984,1.76,0.6,309.49,24.31
2328,592.2,984,1.76,0.6,309.46,24.31
2791,592.17,984,1.76,0.6,309.59,24.32
2383,592.15,980,1.75,0.6,309.5,24.31
2780,592.11,984,1.76,0.6,309.53,24.31
1894,592.08,1002,1.91,0.59,268.81,21.49
2220,592.05,984,1.76,0.6,309.61,24.32
2676,592.05,984,1.76,0.6,309.38,24.3
2731,592.02,984,1.76,0.6,309.41,24.3
2644,591.93,981,1.75,0.6,309.35,24.3
2641,591.84,984,1.76,0.6,309.36,24.3
2673,591.71,984,1.76,0.6,309.31,24.3
680,591.59,889,1.93,0.67,388.81,25.06
660,591.56,975,1.74,0.61,309.97,24.34
1366,591.54,1006,1.86,0.59,271.68,21.47
2447,591.49,917,1.6,0.65,992.09,86.03
1693,591.45,1005,1.85,0.59,271.68,21.47
1307,591.43,1006,1.86,0.59,271.71,21.48
804,591.37,975,1.74,0.61,309.99,24.34
2275,591.36,970,1.81,0.61,273.4,21.46
1845,591.31,1005,1.85,0.59,271.6,21.47
1848,591.3,975,1.74,0.61,310.05,24.35
1870,591.27,1006,1.86,0.59,271.61,21.47
1264,591.17,991,1.88,0.6,268.8,21.49
1843,591.12,991,1.88,0.6,268.77,21.49
2122,591.1,1002,1.91,0.59,268.3,21.46
2748,590.97,986,1.61,0.6,393.3,30.93
3012,590.9,975,1.74,0.61,309.73,24.33
2061,590.89,975,1.74,0.61,309.79,24.33
2079,590.85,995,1.89,0.59,268.46,21.47
2031,590.75,1006,1.86,0.59,271.33,21.46
3036,590.74,975,1.74,0.61,309.72,24.32
2985,590.69,975,1.74,0.61,309.79,24.33
1468,590.67,991,1.78,0.6,301.36,23.05
2437,590.66,987,1.6,0.6,393.31,30.94
1528,590.65,1005,1.92,0.59,270.67,21.75
2287,590.63,987,1.6,0.6,393.33,30.94
3002,590.62,975,1.74,0.61,309.69,24.33
1602,590.61,994,1.78,0.59,301.36,23.05
1767,590.59,994,1.9,0.59,270.6,21.74
1908,590.58,1005,1.92,0.59,270.59,21.74
2931,590.57,975,1.74,0.61,309.7,24.33
2757,590.55,975,1.74,0.61,309.5,24.31
3034,590.53,975,1.74,0.61,309.7,24.33
1610,590.47,994,1.9,0.59,270.63,21.74
2526,590.45,975,1.74,0.61,309.56,24.32
2252,590.42,975,1.74,0.61,309.52,24.31
1835,590.42,994,1.9,0.59,270.6,21.74
2168,590.41,975,1.74,0.61,309.56,24.32
1580,590.38,994,1.9,0.59,270.63,21.74
1854,590.34,996,1.89,0.59,268.75,21.48
2289,590.32,975,1.74,0.61,309.53,24.32
2787,590.31,975,1.74,0.61,309.55,24.31
2318,590.31,975,1.74,0.61,309.51,24.31
1788,590.3,991,1.78,0.6,301.27,23.05
2640,590.29,987,1.6,0.6,393.16,30.94
1232,590.28,992,1.84,0.6,271.56,21.47
2110,590.26,975,1.74,0.61,309.43,24.31
2144,590.22,981,1.87,0.6,268.35,21.46
1775,590.2,994,1.9,0.59,270.6,21.75
2662,590.16,987,1.6,0.6,393.13,30.93
1914,590.16,994,1.9,0.59,270.56,21.74
1816,590.15,982,1.87,0.6,268.79,21.48
2627,590.13,975,1.74,0.61,309.41,24.3
1645,590.13,993,1.88,0.59,268.89,21.5
1022,589.97,1005,1.92,0.59,268.75,21.49
2894,589.96,1008,1.72,0.59,358.2,29.01
1738,589.86,982,1.87,0.6,268.9,21.5
1754,589.85,982,1.87,0.6,268.85,21.49
3037,589.76,995,1.61,0.59,393.59,31
2265,589.67,1008,1.72,0.58,358.01,29
2286,589.67,992,1.84,0.59,271.15,21.44
1535,589.63,975,1.65,0.6,529.44,45.12
2155,589.62,1008,1.72,0.58,358.01,29
2993,589.61,995,1.61,0.59,393.33,30.98
2276,589.61,1008,1.72,0.58,358.01,29
2538,589.56,996,1.89,0.59,268.42,21.46
2196,589.55,995,1.61,0.59,393.31,30.98
2411,589.52,992,1.84,0.59,271.11,21.44
1586,589.45,1016,1.73,0.58,358.7,29.04
2306,589.29,992,1.84,0.59,271.13,21.44
2007,589.22,982,1.87,0.6,268.55,21.48
1781,589.18,975,1.65,0.6,529.18,45.11
2003,589.17,982,1.87,0.6,268.51,21.47
2439,589.15,915,1.63,0.64,393.21,27.73
2084,589.1,982,1.87,0.6,268.46,21.47
1713,589.06,1012,1.94,0.58,270.71,21.75
1477,589,996,1.88,0.59,268.86,21.61
1213,588.84,1012,1.94,0.58,270.52,21.74
1925,588.84,994,1.88,0.59,268.81,21.49
1071,588.79,996,1.88,0.59,268.8,21.61
2088,588.77,982,1.87,0.6,268.43,21.47
1937,588.72,989,1.89,0.6,268.67,21.48
1206,588.72,989,1.89,0.6,268.68,21.48
2254,588.7,982,1.87,0.6,268.34,21.46
2242,588.69,982,1.87,0.6,268.3,21.46
2604,588.63,886,1.83,0.66,451.74,29.31
1912,588.6,1012,1.94,0.58,270.56,21.74
1901,588.58,987,1.86,0.6,268.77,21.6
1370,588.56,1002,1.85,0.59,277.64,21.44
2326,588.54,982,1.87,0.6,268.29,21.46
2295,588.49,982,1.87,0.6,268.31,21.46
905,588.47,982,1.77,0.6,301.27,23.05
1980,588.41,975,1.65,0.6,528.57,45.06
937,588.41,1002,1.85,0.59,277.54,21.44
2115,588.19,989,1.88,0.59,268.31,21.46
2136,588.14,959,1.56,0.61,528.35,45.04
1147,588.1,982,1.77,0.6,301.17,23.04
2166,587.8,994,1.88,0.59,268.38,21.46
1552,587.58,984,1.77,0.6,301.39,23.05
1940,587.54,910,1.58,0.65,993.17,86.11
1687,587.5,987,1.88,0.6,268.87,21.5
1256,587.23,995,1.91,0.59,272.51,20.65
875,587.11,985,1.88,0.6,272.59,20.65
1655,587.1,1000,1.9,0.59,272.63,20.66
1710,587.06,1003,1.91,0.59,268.94,21.62
2080,586.89,989,1.88,0.59,268.47,21.47
1582,586.86,1003,1.91,0.59,268.83,21.61
1262,586.82,985,1.88,0.6,272.56,20.66
1353,586.81,985,1.88,0.6,272.6,20.65
1440,586.72,985,1.88,0.6,272.64,20.66
1084,586.71,985,1.88,0.6,272.54,20.65
1317,586.7,1003,1.91,0.58,268.87,21.61
1467,586.7,1003,1.91,0.58,268.89,21.61
1356,586.69,1003,1.91,0.58,268.85,21.61
1260,586.68,1003,1.91,0.58,268.77,21.6
1434,586.68,1017,1.72,0.58,358.71,29.05
1776,586.67,1003,1.91,0.58,268.84,21.61
1489,586.65,1003,1.91,0.58,268.89,21.62
1272,586.65,985,1.88,0.6,272.56,20.65
1617,586.61,1003,1.91,0.58,268.84,21.61
1644,586.61,1003,1.91,0.58,268.89,21.61
1376,586.58,1003,1.91,0.58,268.84,21.61
1509,586.58,1003,1.91,0.58,268.89,21.61
1809,586.56,1003,1.91,0.58,268.8,21.61
1721,586.54,990,1.88,0.59,268.9,21.5
1165,586.48,985,1.88,0.6,272.41,20.64
1469,586.47,990,1.88,0.59,268.89,21.49
1138,586.44,1003,1.91,0.58,268.74,21.6
897,586.43,1003,1.91,0.58,268.8,21.61
1042,586.36,1003,1.91,0.58,268.71,21.6
1023,586.36,1003,1.91,0.58,268.72,21.6
1911,586.34,1003,1.91,0.58,268.77,21.61
1008,586.27,1003,1.91,0.58,268.72,21.6
1189,586.08,1003,1.91,0.58,268.66,21.6
1973,585.57,990,1.88,0.59,268.52,21.47
2087,585.4,985,1.89,0.59,268.47,21.47
1986,585.31,1006,1.94,0.58,270.29,21.72
2218,585.28,880,1.82,0.67,451.93,29.39
1548,585.18,995,1.89,0.59,268.91,21.61
2686,585.17,1017,1.72,0.58,357.83,28.99
1653,585.09,1003,1.93,0.58,270.66,21.74
1656,585.06,995,1.89,0.59,268.87,21.61
1668,585.02,1010,1.93,0.58,270.68,21.75
2373,584.89,971,1.64,0.6,528.26,45.04
2070,584.77,971,1.64,0.6,528.62,45.07
2033,584.7,971,1.64,0.6,528.68,45.07
1670,584.68,989,1.87,0.59,268.88,21.61
1717,584.66,989,1.87,0.59,268.93,21.62
2308,584.63,971,1.64,0.6,528.22,45.03
2911,584.57,948,1.59,0.62,992.56,85.43
1282,584.5,997,1.89,0.59,272.6,20.66
952,584.31,997,1.89,0.59,272.51,20.65
1701,584.28,989,1.87,0.59,268.89,21.62
1333,584.22,992,1.88,0.59,268.87,21.5
1584,584.22,984,1.87,0.59,272.61,20.66
1624,584.05,970,1.73,0.6,310.15,24.35
1800,583.96,992,1.88,0.59,268.77,21.49
1396,583.87,1007,1.71,0.58,358.69,29.04
1863,583.84,970,1.73,0.6,310.08,24.35
1883,583.81,970,1.73,0.6,310.06,24.34
2244,583.8,969,1.64,0.6,528.23,45.04
1429,583.78,970,1.73,0.6,310.12,24.35
1737,583.69,972,1.74,0.6,310.18,24.35
899,583.67,970,1.73,0.6,310.05,24.35
496,583.67,994,1.83,0.59,271.51,21.46
2379,583.67,995,1.89,0.59,268.35,21.58
1818,583.65,970,1.73,0.6,310.08,24.35
1090,583.64,970,1.73,0.6,309.98,24.34
1374,583.63,990,1.77,0.59,310.75,23.62
1628,583.63,989,1.86,0.59,268.87,21.49
1898,583.57,970,1.73,0.6,310.04,24.34
1003,583.54,970,1.73,0.6,309.99,24.34
1709,583.53,1005,1.9,0.58,272.68,20.66
1904,583.47,970,1.73,0.6,310.04,24.35
452,583.46,970,1.73,0.6,309.9,24.34
1868,583.45,989,1.86,0.59,268.8,21.49
1948,583.39,1007,1.71,0.58,358.47,29.03
1909,583.38,990,1.77,0.59,310.69,23.62
1399,583.38,1005,1.9,0.58,272.6,20.65
751,583.36,1007,1.71,0.58,358.54,29.04
1553,583.36,1005,1.9,0.58,272.7,20.66
1635,583.33,1005,1.9,0.58,272.63,20.66
1945,583.32,970,1.73,0.6,309.96,24.34
381,583.28,1007,1.71,0.58,358.42,29.03
1499,583.25,1005,1.9,0.58,272.64,20.66
1230,583.24,990,1.77,0.59,310.65,23.62
1651,583.23,1005,1.9,0.58,272.64,20.66
1831,583.22,1005,1.9,0.58,272.59,20.65
1414,583.17,1005,1.9,0.58,272.62,20.66
1678,583.15,1005,1.9,0.58,272.65,20.66
1351,583.14,1005,1.9,0.58,272.58,20.65
2055,583.13,970,1.73,0.6,309.78,24.33
1537,583.13,991,1.9,0.59,272.72,20.66
1661,583.12,1005,1.9,0.58,272.65,20.66
1073,583.08,1005,1.9,0.58,272.53,20.65
1659,583.06,1005,1.9,0.58,272.63,20.66
1762,583.06,992,1.9,0.59,268.88,21.61
1394,583.05,1005,1.9,0.58,272.6,20.66
1255,583.04,1005,1.9,0.58,272.51,20.65
2562,583.02,970,1.73,0.6,309.67,24.32
1267,583,1001,1.9,0.58,268.81,21.61
1378,582.98,993,1.89,0.59,272.61,20.66
1078,582.97,1005,1.9,0.58,272.53,20.65
1391,582.94,993,1.89,0.59,272.58,20.65
2582,582.92,970,1.73,0.6,309.67,24.32
1501,582.92,1005,1.9,0.58,272.66,20.66
1330,582.92,1005,1.9,0.58,272.61,20.66
1500,582.9,982,1.87,0.59,272.65,20.66
2585,582.89,970,1.73,0.6,309.66,24.32
2588,582.88,970,1.73,0.6,309.64,24.32
1481,582.88,1005,1.9,0.58,272.6,20.66
1438,582.86,1005,1.9,0.58,272.63,20.66
2468,582.84,970,1.73,0.6,309.54,24.31
1531,582.83,982,1.87,0.59,272.65,20.66
1392,582.81,982,1.87,0.59,272.61,20.66
2772,582.8,970,1.73,0.6,309.55,24.31
1638,582.8,977,1.89,0.6,268.87,21.61
856,582.75,1005,1.9,0.58,272.54,20.65
1782,582.74,982,1.87,0.59,272.51,20.65
2601,582.71,970,1.73,0.6,309.48,24.31
1095,582.69,982,1.87,0.59,272.5,20.65
1358,582.69,982,1.87,0.59,272.58,20.66
1852,582.68,982,1.87,0.59,272.51,20.65
1154,582.67,1005,1.9,0.58,272.43,20.65
1115,582.65,982,1.87,0.59,272.49,20.65
1810,582.64,988,1.87,0.59,268.77,21.49
2602,582.64,970,1.73,0.6,309.49,24.31
2246,582.63,972,1.74,0.6,309.48,24.31
1502,582.63,977,1.89,0.6,268.89,21.61
1279,582.61,1005,1.9,0.58,272.57,20.66
2612,582.6,970,1.73,0.6,309.5,24.31
2495,582.59,970,1.73,0.6,309.57,24.32
883,582.59,1001,1.9,0.58,268.81,21.61
1601,582.56,982,1.87,0.59,272.63,20.66
2304,582.55,970,1.73,0.6,309.48,24.31
1484,582.53,982,1.87,0.59,272.6,20.66
2608,582.52,970,1.73,0.6,309.5,24.31
970,582.51,993,1.88,0.59,272.52,20.65
2691,582.49,970,1.73,0.6,309.38,24.3
2515,582.47,972,1.74,0.6,309.61,24.31
2615,582.46,970,1.73,0.6,309.42,24.31
1465,582.46,987,1.87,0.59,268.89,21.5
999,582.45,993,1.88,0.59,272.5,20.65
2631,582.43,970,1.73,0.6,309.4,24.3
1323,582.43,975,1.76,0.6,301.35,23.05
2867,582.42,1005,1.9,0.58,272.27,20.64
1048,582.4,1005,1.9,0.58,272.46,20.65
2114,582.39,970,1.73,0.6,309.5,24.31
2264,582.39,970,1.73,0.6,309.55,24.32
2711,582.36,970,1.73,0.6,309.35,24.3
2658,582.35,970,1.73,0.6,309.34,24.3
2650,582.34,970,1.73,0.6,309.35,24.3
1195,582.34,989,1.87,0.59,268.67,21.6
1166,582.33,1001,1.9,0.58,268.64,21.6
2646,582.28,970,1.73,0.6,309.36,24.3
1398,582.21,989,1.86,0.59,268.85,21.49
1886,582.2,987,1.87,0.59,268.8,21.49
2720,582.07,970,1.73,0.6,309.36,24.31
1663,582.05,970,1.75,0.6,301.37,23.05
2714,582.01,970,1.73,0.6,309.39,24.3
762,581.97,977,1.89,0.6,268.7,21.6
2225,581.96,989,1.87,0.59,268.37,21.58
1236,581.87,982,1.87,0.59,268.72,21.48
1492,581.87,982,1.87,0.59,268.86,21.49
1864,581.74,972,1.85,0.6,268.81,21.61
1619,581.63,1013,1.73,0.57,358.71,29.04
1702,581.63,1013,1.73,0.57,358.71,29.04
1422,581.6,1013,1.73,0.57,358.75,29.04
1822,581.57,989,1.86,0.59,268.85,21.61
2027,581.54,975,1.66,0.6,528.63,45.07
1608,581.49,1013,1.73,0.57,358.7,29.04
741,581.48,990,1.87,0.59,272.51,20.65
2245,581.48,993,1.88,0.59,272.05,20.63
1761,581.48,975,1.85,0.6,268.88,21.61
1803,581.47,984,1.86,0.59,268.75,21.61
1491,581.46,1013,1.73,0.57,358.74,29.04
1746,581.44,990,1.87,0.59,272.63,20.66
2296,581.44,982,1.87,0.59,272.06,20.63
1445,581.43,990,1.87,0.59,272.65,20.66
735,581.4,990,1.87,0.59,272.49,20.65
1727,581.35,975,1.85,0.6,268.9,21.61
1389,581.34,1013,1.73,0.57,358.7,29.04
1593,581.34,1013,1.73,0.57,358.75,29.05
1363,581.32,1013,1.73,0.57,358.7,29.04
1598,581.32,1013,1.73,0.57,358.71,29.05
1842,581.31,1013,1.73,0.57,358.61,29.03
1686,581.29,975,1.85,0.6,268.89,21.61
1485,581.23,990,1.87,0.59,272.58,20.66
1613,581.23,1013,1.73,0.57,358.7,29.04
1361,581.23,1013,1.73,0.57,358.69,29.04
1764,581.2,1013,1.73,0.57,358.7,29.04
1724,581.18,975,1.85,0.6,268.89,21.62
1928,581.15,985,1.87,0.59,268.79,21.48
1061,581.12,1013,1.73,0.57,358.54,29.03
1755,581.11,975,1.85,0.6,268.85,21.61
1192,581.09,989,1.86,0.59,268.7,21.6
1674,581.08,1013,1.73,0.57,358.76,29.05
1938,581.06,986,1.87,0.59,268.62,21.48
1478,581.06,975,1.85,0.6,268.88,21.61
450,580.81,1013,1.73,0.57,358.44,29.03
1225,580.78,975,1.85,0.6,268.75,21.61
1583,580.75,986,1.86,0.59,268.85,21.61
2532,580.7,1013,1.73,0.57,358.13,29
1453,580.68,986,1.86,0.59,268.87,21.61
1211,580.63,975,1.85,0.6,268.71,21.6
2997,580.52,1013,1.73,0.57,358.24,29.01
1498,580.45,984,1.86,0.59,268.89,21.49
1426,580.42,999,1.91,0.58,272.64,20.66
2572,580.38,1015,1.73,0.57,358.16,29.01
1524,580.34,999,1.9,0.58,272.65,20.66
1697,580.26,953,1.77,0.61,274,21.5
1588,580.26,981,1.77,0.59,301.3,23.05
2402,580.25,989,1.86,0.59,268.32,21.58
1657,580.24,999,1.9,0.58,272.63,20.66
1312,580.2,982,1.86,0.59,268.89,21.61
1933,580.16,953,1.77,0.61,273.87,21.49
2021,580.11,986,1.86,0.59,268.53,21.59
1402,580.11,981,1.89,0.59,272.6,20.66
1369,580.05,988,1.83,0.59,271.68,21.48
1316,579.95,943,1.59,0.62,874,75.61
1844,579.93,984,1.87,0.59,268.77,21.49
1235,579.92,981,1.89,0.59,272.51,20.65
1188,579.91,983,1.89,0.59,268.67,21.6
1506,579.9,968,1.75,0.6,301.39,23.05
1057,579.88,983,1.89,0.59,268.74,21.61
2028,579.82,984,1.86,0.59,268.53,21.47
1091,579.78,975,1.65,0.59,529.11,45.11
1550,579.71,979,1.76,0.59,301.43,23.05
1872,579.7,987,1.86,0.59,268.83,21.61
969,579.67,981,1.89,0.59,272.52,20.66
1510,579.64,988,1.83,0.59,277.7,21.58
1305,579.58,979,1.86,0.59,268.89,21.61
1665,579.55,979,1.76,0.59,301.39,23.06
1407,579.38,979,1.76,0.59,301.34,23.05
2024,579.35,984,1.87,0.59,268.55,21.47
1505,579.35,1003,1.9,0.58,272.67,20.66
1486,579.31,979,1.86,0.59,268.82,21.61
2037,579.2,975,1.65,0.59,528.63,45.07
1269,579.16,979,1.76,0.59,301.27,23.05
781,579.15,1003,1.9,0.58,272.51,20.65
2014,579.09,982,1.86,0.59,268.59,21.6
1820,578.88,987,1.86,0.59,272.59,20.65
1916,578.84,980,1.86,0.59,268.77,21.49
2317,578.84,988,1.83,0.59,271.15,21.44
1455,578.68,930,1.61,0.62,395.91,27.83
3029,578.35,936,1.78,0.62,309.74,24.51
1897,578.24,984,1.87,0.59,268.77,21.49
1542,578.2,951,1.7,0.61,334.45,26.54
2507,578.17,936,1.78,0.62,309.61,24.5
2590,578.02,936,1.78,0.62,309.64,24.51
1672,577.99,987,1.89,0.59,272.65,20.66
1457,577.98,980,1.86,0.59,268.89,21.61
2056,577.97,984,1.87,0.59,268.57,21.48
2049,577.97,987,1.86,0.59,268.54,21.48
1547,577.9,983,1.86,0.59,268.9,21.61
1527,577.87,983,1.86,0.59,268.88,21.61
928,577.84,933,1.6,0.62,873.69,75.59
1288,577.73,1011,1.72,0.57,358.75,29.05
2143,577.7,984,1.87,0.59,268.36,21.46
1380,577.68,1011,1.72,0.57,358.69,29.04
2490,577.68,936,1.77,0.62,309.54,24.5
1197,577.57,933,1.6,0.62,873.41,75.57
1419,577.51,983,1.86,0.59,272.63,20.66
2063,577.43,969,1.75,0.6,301.02,23.03
1757,577.39,983,1.86,0.59,268.86,21.61
1936,577.34,980,1.86,0.59,268.7,21.48
2930,577.32,949,1.64,0.61,395.24,27.47
1873,577.27,963,1.78,0.6,268.83,21.49
1530,577.24,969,1.75,0.6,301.37,23.05
2054,577.15,1011,1.72,0.57,358.31,29.02
3000,577.13,935,1.77,0.62,309.7,24.51
1675,577.1,955,1.68,0.6,409.36,32.36
2996,577.1,935,1.77,0.62,309.73,24.51
400,577.02,983,1.85,0.59,268.63,21.6
1712,576.94,982,1.82,0.59,271.72,21.48
2374,576.77,904,1.57,0.64,991.96,86
1186,576.68,969,1.75,0.6,301.13,23.04
1436,576.67,972,1.75,0.59,301.33,23.05
521,576.65,967,1.77,0.6,310.57,23.61
2142,576.61,1011,1.72,0.57,358.05,29
1261,576.58,933,1.61,0.62,395.72,27.82
1447,576.47,944,1.64,0.61,395.82,27.56
1545,576.43,968,1.75,0.6,301.39,23.05
1743,576.24,982,1.86,0.59,272.63,20.66
344,576.24,946,1.64,0.61,395.63,27.54
2498,576.24,987,1.77,0.58,438.05,34.16
2469,576.18,959,1.63,0.6,528.36,45.04
1689,576.16,944,1.63,0.61,395.87,27.56
1577,576.14,962,1.63,0.6,529.27,45.11
1377,576.13,980,1.82,0.59,271.67,21.47
2172,576.03,959,1.63,0.6,528.43,45.06
1277,576.03,975,1.86,0.59,268.82,21.49
2113,575.94,980,1.86,0.59,268.3,21.46
2152,575.82,894,1.58,0.64,992.11,86.03
271,575.8,944,1.63,0.61,395.56,27.54
2358,575.8,987,1.77,0.58,437.93,34.15
2359,575.69,946,1.64,0.61,395.12,27.51
1214,575.69,983,1.76,0.59,438.59,34.19
1432,575.6,983,1.76,0.59,438.83,34.21
1087,575.49,1007,1.72,0.57,358.59,29.03
1597,575.4,983,1.86,0.59,272.64,20.66
757,575.37,942,1.57,0.61,395.6,27.5
1390,575.22,985,1.85,0.58,268.85,21.61
1461,575.22,980,1.81,0.59,271.68,21.47
3043,575.04,944,1.63,0.61,395.17,27.52
677,575,985,1.85,0.58,268.74,21.6
734,574.97,985,1.85,0.58,268.73,21.6
719,574.68,988,1.89,0.58,268.73,21.6
2948,574.62,938,1.63,0.61,395.33,27.57
1643,574.58,981,1.85,0.59,268.86,21.61
1896,574.57,944,1.58,0.61,395.74,27.55
1730,574.53,957,1.62,0.6,529.45,45.12
1473,574.48,975,1.78,0.59,301.4,23.05
1178,574.48,984,1.83,0.58,271.44,21.46
1517,574.46,957,1.62,0.6,529.4,45.12
1648,574.41,978,1.85,0.59,272.65,20.66
1408,574.38,954,1.77,0.6,268.84,21.49
1295,574.38,980,1.86,0.59,272.67,20.66
1748,574.36,975,1.78,0.59,301.36,23.05
1309,574.35,975,1.78,0.59,301.34,23.05
1681,574.29,975,1.78,0.59,301.4,23.05
1488,574.22,975,1.78,0.59,301.35,23.05
1371,574.22,975,1.78,0.59,301.33,23.05
1210,574.18,975,1.78,0.59,301.19,23.04
1335,574.17,975,1.78,0.59,301.31,23.05
1386,574.09,975,1.78,0.59,301.33,23.05
1850,574.08,945,1.57,0.61,395.66,27.52
2010,573.99,956,1.63,0.6,528.72,45.07
1121,573.9,977,1.85,0.59,268.77,21.49
1741,573.88,963,1.74,0.6,301.38,23.05
1404,573.85,963,1.74,0.6,301.32,23.05
1744,573.78,955,1.79,0.6,270.64,21.75
1161,573.63,963,1.74,0.6,301.1,23.04
1329,573.6,973,1.87,0.59,268.85,21.61
1605,573.57,936,1.58,0.61,873.99,75.61
190,573.5,868,1.47,0.66,993.22,86.09
1700,573.5,944,1.73,0.61,310.13,24.35
1397,573.45,938,1.57,0.61,395.84,27.56
1935,573.44,944,1.73,0.61,310.04,24.34
424,573.43,980,1.86,0.59,272.41,20.65
2922,573.37,973,1.87,0.59,268.52,21.59
1705,573.3,948,1.76,0.6,268.89,21.49
1459,573.28,944,1.73,0.61,310.16,24.36
1194,573.25,961,1.75,0.6,301.15,23.04
1611,573.25,962,1.77,0.6,310.72,23.62
1752,573.12,981,1.84,0.58,268.86,21.61
1433,573.12,981,1.84,0.58,268.85,21.61
1768,573.11,983,1.87,0.58,272.57,20.66
1153,573.1,962,1.77,0.6,310.55,23.61
1284,573.01,978,1.85,0.59,268.87,21.49
2053,572.99,939,1.91,0.61,249.71,19.23
2126,572.96,957,1.62,0.6,528.22,45.04
2238,572.95,954,1.77,0.6,268.34,21.46
1540,572.94,978,1.85,0.59,268.93,21.5
1032,572.89,962,1.77,0.6,310.58,23.61
1750,572.87,971,1.85,0.59,268.84,21.49
1175,572.86,962,1.77,0.6,310.49,23.61
1669,572.85,964,1.74,0.59,301.39,23.06
10,572.84,936,1.58,0.61,873.15,75.55
773,572.81,936,1.58,0.61,873.59,75.59
1182,572.77,962,1.77,0.6,310.5,23.61
1640,572.68,902,1.59,0.63,393.97,27.35
912,572.66,960,1.76,0.6,310.68,23.62
1679,572.64,978,1.85,0.59,272.65,20.66
985,572.6,971,1.85,0.59,268.75,21.49
1483,572.55,960,1.76,0.6,310.71,23.62
633,572.55,960,1.76,0.6,310.62,23.61
1381,572.52,981,1.81,0.58,271.66,21.47
1766,572.51,982,1.81,0.58,271.63,21.47
1487,572.48,976,1.85,0.59,272.6,20.66
1595,572.44,955,1.62,0.6,529.36,45.12
1034,572.41,960,1.76,0.6,310.58,23.61
963,572.39,960,1.76,0.6,310.66,23.62
1417,572.35,992,1.89,0.58,272.61,20.66
1102,572.32,971,1.85,0.59,268.75,21.49
1637,572.32,979,1.84,0.58,268.89,21.62
810,572.28,942,1.63,0.61,395.71,27.67
1815,572.22,955,1.62,0.6,529.19,45.1
1551,572.2,985,1.86,0.58,271.75,21.48
465,572.2,942,1.63,0.61,395.56,27.66
